,cod_tse,cod_ibge,nome_mun,uf,estado,12,13,14,15,16,21,22,27,30,44,80,status
3515,64238,3516101,FLORÍNEA,SP,SÃO PAULO,"2,00","49,78","0,05","3,66","00,00","00,00","44,12","00,00","0,15","0,24","00,00",2
3516,64254,3516200,FRANCA,SP,SÃO PAULO,"2,96","33,61","0,06","5,60","0,02","0,05","56,60","0,01","0,63","0,42","0,05",4
3517,64270,3516309,FRANCISCO MORATO,SP,SÃO PAULO,"3,25","57,91","0,06","4,09","0,03","0,05","33,48","0,03","0,30","0,72","0,09",1
3518,64297,3516408,FRANCO DA ROCHA,SP,SÃO PAULO,"3,33","52,24","0,07","4,45","0,03","0,04","38,59","0,02","0,39","0,76","0,08",1
3519,64319,3516507,GABRIEL MONTEIRO,SP,SÃO PAULO,"1,31","27,48","00,00","4,93","00,00","0,05","65,83","00,00","0,25","0,15","00,00",4
3520,64335,3516606,GÁLIA,SP,SÃO PAULO,"2,11","49,70","0,05","3,54","0,03","0,03","43,51","00,00","0,49","0,51","0,03",2
3521,64351,3516705,GARÇA,SP,SÃO PAULO,"2,44","30,37","0,07","4,35","0,01","0,02","61,74","0,01","0,37","0,57","0,04",4
3522,64378,3516804,GASTÃO VIDIGAL,SP,SÃO PAULO,"2,05","54,72","00,00","3,56","0,04","00,00","39,14","00,00","0,13","0,36","00,00",1
3523,64394,3516903,GENERAL SALGADO,SP,SÃO PAULO,"1,68","34,45","0,06","4,17","0,02","0,02","58,74","00,00","0,39","0,45","0,02",4
3524,64416,3517000,GETULINA,SP,SÃO PAULO,"1,55","42,28","0,04","4,06","00,00","0,04","51,44","0,09","0,17","0,30","0,02",4
3525,64432,3517109,GLICÉRIO,SP,SÃO PAULO,"1,84","41,00","00,00","2,30","00,00","00,00","54,16","00,00","0,10","0,56","0,03",4
3526,64459,3517208,GUAIÇARA,SP,SÃO PAULO,"1,68","39,37","0,03","3,85","00,00","00,00","54,46","00,00","0,31","0,30","00,00",4
3527,64475,3517307,GUAIMBÊ,SP,SÃO PAULO,"1,60","46,36","0,03","5,44","00,00","0,06","46,03","00,00","0,15","0,33","00,00",2
3528,64491,3517406,GUAÍRA,SP,SÃO PAULO,"1,88","36,02","0,02","5,31","0,01","0,02","56,08","00,00","0,27","0,32","0,04",4
